country_name_off,country_name_lt,country_code_nuts,country_code_iso,country_code_wb_a3,method,company,income_group,incpp,current_term_start,current_term_end,sample_size,A,A1,A2,A3,B,B1,B2,D,D1,D2,E,E1,E2,E3,F,PR,CL,v2x_liberal,v2xlg_legcon,v2psoppaut,v2cltrnslw,v2lgqstexp,v2lginvstp,v2lgoppart,v2x_jucon,v2juhcind,v2juncind,v2lgotovst,v2x_polyarchy,v2x_suffr,v2xel_frefair,v2x_elecoff,v2xdd_dd,v2elembaut,v2elembcap,v2elrgstry,v2elvotbuy,v2elirreg,v2elintim,v2elpeace,v2x_libdem,v2x_freexp_altinf,v2x_frassoc_thick,v2merange,v2meslfcen,v2mecrit,v2cldiscm,v2cldiscw,v2psbars,v2cscnsult,v2exrescon,v2jucomp,v2juhccomp,v2mecenefm,v2meharjrn,v2cseeorgs,v2csreprss
Österreich,Austria,AT,AUT,AUT,Online,Bilendi&Respondi,H,1329,12/1/2021,1/1/2025,2250,1,1,1,1,0.9375,1,1,0.875,0.75,0.75,1,1,1,1,0.9375,0.925,0.9333333333333333,0.5890861678004535,0.656481228668942,0.8343521949088379,0.6635121291668706,0.6589914404423479,0.5274852488001194,0.6241610346331132,0.5824627192982457,0.5094970845185844,0.4812775330396476,0.620177156292258,0.4328597662771285,0.4841409691629956,0.5039739292364991,0.4539363484087102,0.07394897959183673,0.5988888848596057,0.7421466509262702,0.761647638674013,0.7019428496713381,0.778753124821098,0.8086093838326739,0.7613599141945139,0.4022194690265487,0.6070762527233116,0.5300980392156863,0.6245048392225291,0.5980110338007469,0.6121831269963938,0.5644503891016971,0.5694465679323072,0.5745373038593219,0.5680534026147429,0.731640352489422,0.5503228349426396,0.5608902654682055,0.7799597503494561,0.5440540651527329,0.464228895692644,0.5287941600576785
Belgique / België,Belgium,BE,BEL,BEL,Online,Bilendi&Respondi,H,49,10/1/2020,10/1/2028,1500,1,1,1,1,1,1,1,0.9375,1,0.75,1,1,1,1,0.9375,0.975,0.95,0.846332512315271,0.8257903225806452,0.8645999323172155,0.7510441767068273,0.8743018940100376,0.625529306312525,0.747489908887206,0.9148850000000001,0.7358259270609868,0.8718781497480202,0.6226762024149016,0.5283409490333919,0.51895,0.7210584677419355,0.7504472271914132,0.004821138211382114,0.7152545549882888,0.6992544365389877,0.7452119170065615,0.663360184328453,0.7000432043029544,0.7526121656600518,0.7049435845153954,0.4918523725834798,0.840225,0.7964946695095949,0.7661873657838224,0.7388194444444445,0.6935822414951481,0.7396265231840481,0.642549356223176,0.8424238327023617,0.6207028349645629,0.8701492091912861,0.7145316434446869,0.7279245843230405,0.8326354777932856,0.7496740510794413,0.7687317275747508,0.6842845443716499
България,Bulgaria,BU,BGR,BGR,Face-to-Face,Alpha Research,UM,9999,6/1/2023,6/1/2027,1500,0.9166666666666666,1,1,0.75,0.875,1,1,0.8125,0.5,0.75,0.9166666666666666,1,1,0.75,0.625,0.825,0.7666666666666667,0.4624333333333333,0.46257894736842103,0.4981643452211751,0.3787465131461808,0.5057386063981683,0.42100744036239146,0.40561399165683465,0.4909586206896552,0.4665822990983886,0.44121297882376304,0.46265431344268715,0.3046080508474576,0.7537931034482759,0.35264171122994653,0.5064935064935064,0.07379674796747968,0.26754491146754705,0.5518950437317784,0.6049324854964153,0.32230019205200183,0.30470919967322846,0.593367681498829,0.6119628555463906,0.23831289640591966,0.41629,0.477413698630137,0.44370274855120073,0.3812507482085749,0.3841409381157051,0.47016824294156767,0.4244676631641261,0.5515381187028023,0.33602427665899903,0.4893001574414226,0.4541848766736323,0.5751607062770959,0.3453476590797633,0.3288883328799598,0.4382223098147418,0.5536416955209417
Κύπρος,Cyprus,CY,CYP,CYP,Face-to-Face,Pulse Market Research,H,2652,2/1/2023,2/1/2028,1000,1,1,1,1,0.9375,1,1,0.9375,1,1,0.9166666666666666,1,0.75,1,0.9375,0.95,0.9,0.5646774193548387,0.6490650406504065,0.7008148125235216,0.5141879947198784,0.5113474743057073,0.5355869575942644,0.7005444126074499,0.7408455284552846,0.5855141036853213,0.6164901929796835,0.6024366328196492,0.42011,0.5853658536585366,0.4132673611111111,0.5466666666666666,8.130081300813008e-4,0.6178418076087825,0.4888227842433916,0.758588148861247,0.5665472497168464,0.7341225920362611,0.7951463700234193,0.7457028443711252,0.35209666666666667,0.5681788617886179,0.6058430656934307,0.6134123062776798,0.5008931924525238,0.5452351501954132,0.5263413862181033,0.3955769566279354,0.7306285826514295,0.34805007010583094,0.6216831282010225,0.590603935248686,0.6961551088194967,0.5710951576793668,0.5121194079162465,0.5760554250060773,0.5669811686205011
Česko,Czechia,CZ,CZE,CZE,Online,Ipsos,H,466,12/1/2021,12/1/2025,2000,1,1,1,1,0.9375,1,1,0.9375,1,0.75,1,1,1,1,0.875,0.9,0.9333333333333333,0.4882542372881356,0.47372413793103446,0.5695503819790441,0.46500481564266116,0.5380932664802565,0.4174048139130658,0.48703420214390647,0.47623809523809524,0.4466354362768706,0.43351674723165007,0.4369832400487301,0.48863664596273293,1,0.6154466403162056,0.7239057239057239,0.018257142857142857,0.4510525495088102,0.8046863189720334,0.8338751945774469,0.7562270992122768,0.7948512984484207,0.72829386763813,0.8266799114256741,0.3816880733944954,0.49593191489361704,0.5006349206349207,0.5363164573436584,0.48736654854078143,0.4481130773265604,0.582741310704596,0.5341292991280369,0.5449194524544757,0.39683165932256825,0.4831677821830016,0.41325691263579456,0.5091369754552653,0.4450151627066884,0.4479584899367601,0.5099233442043342,0.6114513068410045
Deutschland,Germany,DE,DEU,DEU,Online,Bilendi&Respondi,H,383,12/1/2021,12/1/2025,7800,1,1,1,1,0.9375,1,1,0.875,1,0.75,1,1,1,1,0.875,0.975,0.9166666666666666,0.6070616016427105,0.6230714285714286,0.7318859927243601,0.5666468259087128,0.7909032632960767,0.5425150298538977,0.724027898788298,0.7547370689655173,0.6567599117961659,0.6510122140337232,0.6270618219062252,0.41163875205254513,0.5591304347826087,0.4765092250922509,0.4209650582362729,0.04657142857142857,0.6019570636754482,0.6804509429016933,0.7171450846028502,0.7098300520965445,0.5949782989283464,0.6681549341047894,0.6184138854429868,0.38236628849270665,0.573059829059829,0.5476955684007707,0.7108384426255019,0.512924740813114,0.6041959888564676,0.5031635262827417,0.5088917808851354,0.542558620535929,0.5135910681499256,0.6074502759564374,0.6062883055243707,0.7275618599107245,0.7105609237055555,0.536889344237152,0.49844961240310076,0.649899421073643
Danmark,Denmark,DK,DNK,DNK,Online,Bilendi&Respondi,H,379,6/1/2019,6/1/2027,2500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,1,0.95,0.8546221765913757,0.900263440860215,0.9023462270133165,0.7659735272734242,0.9432551528435356,0.8355776264411039,0.7930611547944293,0.9876965811965812,0.9176718504024665,0.9906738230172356,0.737679523612131,0.5771360123647604,0.5785897435897436,0.7082363636363637,0.5340729001584786,0.15898373983739839,0.8683923280835801,0.8929381276320052,0.7775027199570559,0.7580470853480161,0.8266127222961756,0.8388524590163935,0.7871439142625584,0.5688055555555556,0.7981370143149285,0.8302449725776966,0.7706333474050009,0.7605177022311854,0.7525496676092014,0.7667635965606372,0.7973585886189934,0.8276515063967741,0.6444633384390387,0.8005891631495929,0.9759035193817802,0.9611682941849212,0.838297864235951,0.7444286662123336,0.7696944094397984,0.738417557210401
Eesti,Estonia,EE,EST,EST,Online,Ipsos,H,821,1/1/2021,1/1/2026,1000,1,1,1,1,0.9375,1,1,1,1,1,1,1,1,1,0.875,0.95,0.9333333333333333,0.8579075630252101,0.8142363636363636,0.8073470917161469,0.6770776800897284,0.9158440059425448,0.6323945297755581,0.7486467225947478,0.9347090909090908,0.7961134483046833,0.8605177040382224,0.7474587960421681,0.6892402234636872,1,0.7061304347826086,0.8547486033519553,0.13032727272727274,0.7051954127269892,0.7034337544541627,0.7614929639172571,0.7246791167345946,0.7697733216142019,0.8378784956605593,0.7867825096140151,0.6225444444444445,0.8703333333333333,0.783125,0.8481258541029478,0.7292900919305414,0.8194710543025149,0.7793983512926383,0.7454417507636392,0.7353118396925861,0.5370110146350443,0.7772767966143078,0.7012254490515359,0.851709493989779,0.7652717500646681,0.7753248585758815,0.7905376019329508,0.8319264713844822
Ελλαδα,Greece,EL,GRC,GRC,Face-to-Face,D3,H,794,6/1/2023,6/1/2027,2000,1,1,1,1,0.9375,1,1,0.875,0.75,0.75,1,1,1,1,0.6875,0.875,0.85,0.5768373786407767,0.6656128205128206,0.6601646176220989,0.49542587222338486,0.5502289747319649,0.5851620273689899,0.6698906814501059,0.6203731343283583,0.6444418724447546,0.5646381125330869,0.5390637591752316,0.3902800608828006,0.6218905472636815,0.46351789077212807,0.628030303030303,0.04071544715447155,0.581065512915696,0.5910800709765072,0.6283383578648697,0.44362535086423405,0.5450944738714523,0.5907564402810305,0.703299402636175,0.31095288753799394,0.6047593052109181,0.6443060796645702,0.5951096343621904,0.5685003509294974,0.5803203878593511,0.6006571037831887,0.519018640702069,0.7476375194153676,0.24795613562293153,0.5723887278023491,0.4517775400319203,0.5922297468034569,0.527603451343405,0.5219906017413494,0.48515809656038744,0.5698702734096048
España,Spain,ES,ESP,ESP,Online,Ipsos,H,1338,1/1/2020,1/1/2024,3500,1,1,1,1,1,1,1,0.875,0.75,1,0.9166666666666666,0.75,1,1,0.8125,0.925,0.8833333333333333,0.5034928131416838,0.4605879732739421,0.5290980737715044,0.4467050573113121,0.5267070442010305,0.40300813973918403,0.42305622485600997,0.6561082802547771,0.40889495151827265,0.4475672715413537,0.47105509259162837,0.2566319350473613,0.5222222222222223,0.25945373665480426,0.25270661157024793,0.07471544715447155,0.31251957495525245,0.3305805431655772,0.4620362715395049,0.27953935262731167,0.3337828112374672,0.5567328561533134,0.43507683669805997,0.2381368563685637,0.46240495867768594,0.4289591836734694,0.47587932627302704,0.48286357138864267,0.5069359505884744,0.4224861799240656,0.32937529804482596,0.4940015315894169,0.3359431564797747,0.6023267763655176,0.7257295518165083,0.7354686517945327,0.4360427606805312,0.44677868108092467,0.46975821336286455,0.5056021339523424
Suomi / Finland,Finland,FI,FIN,FIN,Online,Ipsos,H,495,6/1/2023,6/1/2027,2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6978747099767981,0.538303738317757,0.8079282205062256,0.7237749395445601,0.5210786187107994,0.49804636779626105,0.4657658396486624,0.7828177570093457,0.5428852526629643,0.7062794789500952,0.6392529152251514,0.6063248532289628,0.5626168224299065,0.679244140625,0.6771653543307087,0.03792682926829268,0.72897123395672625,0.9044924600904004,0.8441088096231227,0.7299158619417297,0.8440857281671954,0.8432602170399446,0.7775545056519035,0.5379686888454012,0.6023170163170163,0.7591408163265306,0.731047466015254,0.5629465208116894,0.5741344393029786,0.5758889153465369,0.5583618787854479,0.8223355556341814,0.36335315039331234,0.7112857927749284,0.7477796482266209,0.7020445312673431,0.6459614648625747,0.5661102455232553,0.5921668683660806,0.6732837839151121
France,France,FR,FRA,FRA,Online,Ipsos,H,5857,5/1/2022,5/1/2027,6165,1,1,1,1,0.9375,1,1,0.875,1,0.75,0.8333333333333334,0.75,0.75,1,0.8125,0.95,0.85,0.7177745901639344,0.6684400871459695,0.7169005953113318,0.688037252796289,0.901879543884763,0.5450230981352404,0.5568657401892246,0.7188776371308017,0.5738577520158095,0.6266030920916158,0.5221988470260376,0.5223011435832274,0.5864529914529915,0.7371094527363184,0.6821656050955414,0.09791869918699186,0.5585552519115039,0.6815716399554173,0.7565418237741258,0.6886590830748018,0.6670824752556088,0.8171445847890353,0.7422813062643571,0.45235569620253163,0.7232234042553192,0.7028935810810811,0.7448011306279023,0.7595486944737881,0.6942595144842335,0.6381987304601642,0.5464539085139944,0.7587375196099866,0.5010535925993231,0.6467230090775301,0.6603899272469648,0.6290090099215494,0.7163095137116404,0.54279956438838906,0.6257603963798831,0.7013236664070495
Hrvatska,Croatia,HR,HRV,HRV,Face-to-Face,ACT,H,1431,7/1/2020,7/1/2024,2000,1,1,1,1,0.875,1,1,0.8125,0.75,0.75,1,1,1,1,0.6875,0.875,0.8166666666666667,0.6496842105263158,0.6553181818181818,0.6684545198337208,0.4804285635693459,0.7605174182913085,0.5015513072044531,0.524220299757549,0.6244444444444445,0.47110702489188544,0.4415646748260139,0.5936982458115762,0.6188571428571429,0.8888888888888888,0.6631875,0.918918918918919,0.10972222222222222,0.6386073427239808,0.621261202893856,0.7461961340663239,0.6849793174767322,0.6194982475558015,0.855844262295082,0.8159620040975973,0.49742857142857144,0.7003243243243243,0.7427391304347826,0.7163266523502744,0.606340891453251,0.6448404067596293,0.696000597844244,0.6325703385789223,0.7546521643330729,0.44909438632017096,0.6171126363606221,0.5345298714863932,0.6361133104601038,0.5359648298314121,0.5133800372970685,0.5921004060538945,0.6595485077096156
Magyarország,Hungary,HU,HUN,HUN,Online,Talk Online,H,1691,4/1/2022,4/1/2027,1750,0.5833333333333334,0.5,0.5,0.75,0.6875,0.75,0.5,0.625,0.5,0.75,0.75,1,0.5,0.75,0.625,0.6,0.7,0.4706890756302521,0.36596774193548387,0.49894471838650756,0.4417100636980155,0.47913466051777176,0.3509361564965772,0.3443824941142117,0.6557692307692308,0.4324651941683814,0.5334027123983928,0.4516236052576943,0.2664398148148148,0.4826709401709402,0.32512750455373407,0.49089456869009584,0.12240952380952382,0.41677428727171434,0.5660330473255644,0.6523615298220725,0.46942906773188425,0.5972850678733032,0.5727804564448731,0.6815816287401532,0.22023574730354392,0.41382244897959186,0.39137333333333335,0.43484894370721144,0.42634074991007004,0.42523379040232967,0.5672459804442713,0.46154579802648477,0.546260308671965,0.29752344441848316,0.6263495780058,0.55525640308249,0.7481987331749802,0.43665198626561474,0.44430492867727744,0.4317639782285997,0.42326718182882567
Éire / Ireland,Ireland,IE,IRL,IRL,Online,Red C Research,H,1288,12/1/2022,12/1/2025,1350,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,0.975,0.9666666666666667,0.8746037735849057,0.753576923076923,0.9584654407102093,0.7427898406814071,0.9586725698306906,0.5535817384467975,0.5962273161413563,0.9627596153846154,0.7931380984935996,0.7773197374979233,0.6288273964771876,0.8055244755244755,0.9971153846153846,0.873636,1,0.17272115384615383,0.6894664083772145,0.7285141162692184,0.8133329695663444,0.768289449261528,0.8103481711672083,0.8485750315258512,0.7825169181101385,0.7106923076923077,0.8992211538461539,0.8841497975708502,0.8175038544133032,0.686449630269855,0.8376465813263565,0.8528841588858996,0.8639798613403764,0.8781201897075342,0.6222253952594823,0.8000668571953264,0.9004032101858188,0.9236753151836288,0.6691386585276878,0.7496038249883319,0.7627331970355226,0.8246624020708297
Italia,Italy,IT,ITA,ITA,Online,Bilendi&Respondi,H,2280,10/1/2022,10/1/2027,3750,1,1,1,1,0.875,1,1,0.9375,0.75,1,1,1,1,1,0.8125,0.9,0.9,0.6790900900900901,0.6689138461538462,0.7423208623969563,0.5795678304045104,0.7529184288721185,0.5636292165196668,0.6218746396160636,0.6475246913580247,0.5407704415008532,0.5300064883698193,0.516136101087332,0.5020364372469636,0.6123456790123457,0.6264591836734694,0.8345417515274949,0.13363414634146342,0.5251784088262076,0.662263494463041,0.6318826814467045,0.39853294305295084,0.5414505423040967,0.7169963878855238,0.6325673751700756,0.43362776659959756,0.6620584615384615,0.6456175710594315,0.5871532472582341,0.5560844083784159,0.5707964518825942,0.7118400512661207,0.5821035341493138,0.741663269126763,0.5097280033999575,0.6977749409610545,0.5004559424849279,0.6192604322453887,0.568589046623947,0.542717756560003,0.5802386727269022,0.5544746652548916
Lietuva,Lithuania,LT,LTU,LTU,Face-to-Face,ACT,H,193,11/1/2020,11/1/2024,1500,1,1,1,1,1,1,1,0.9375,0.75,1,0.9166666666666666,1,1,0.75,0.6875,0.95,0.85,0.7756142857142857,0.78490625,0.7868572566932847,0.6155385087146616,0.8384844982264619,0.6432782391142339,0.8155514816769719,0.8916837606837607,0.7139628299986867,0.7701646476977494,0.7470970738504413,0.6151323529411764,0.9636363636363636,0.612575,0.7474747474747475,0.22643636363636363,0.642064946203025,0.677645257237094,0.8199121916093011,0.6480837328820783,0.7683978691172936,0.8458817685047194,0.8445001326357259,0.5570322580645162,0.7401393442622951,0.71906,0.6638410629293348,0.6252168196833604,0.6960778045934758,0.7052054094724071,0.6677750169414954,0.7572374970968805,0.4267237963873277,0.7066899975583951,0.8072689106766662,0.7905432623522385,0.6602284639832271,0.6566891689503143,0.58599681971775,0.7606261491053163
Luxembourg,Luxembourg,LU,LUX,LUX,Online,ILRES,H,300,12/1/2020,12/1/2023,500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9375,0.95,0.9833333333333333,0.8123492063492064,0.7857185185185185,0.8256363064581819,0.6995368232511929,0.8158977414710717,0.6799153033582928,0.7316096018763677,0.725900641025641,0.6600307848997302,0.6561288558453785,0.6270819064713277,0.740910780669145,0.525048076923077,0.6489846153846154,0.9442622950819672,0.07121138211382114,0.7748260841134188,0.7939091580337553,0.7497499556658983,0.7958566011720097,0.8076443460616123,0.873344262295082,0.8061538461538461,0.6463619402985075,0.7836634615384616,0.8074833948339484,0.6935612369913551,0.682361441227312,0.7250848244528019,0.7200597708985111,0.5978441729943876,0.7097989557765112,0.7627583008870925,0.8296416091489301,0.5251861094252398,0.5763818864454832,0.7846929307105275,0.6604041982285211,0.754251411284877,0.7929238270941377
Latvija,Latvia,LV,LVA,LVA,Face-to-Face,ACT,H,9999,1/1/2019,8/1/2023,1000,1,1,1,1,0.9375,1,1,0.875,0.75,1,1,1,1,1,0.6875,0.925,0.85,0.8034036697247706,0.748688679245283,0.8311278879171103,0.6168447374403274,0.8241756081740159,0.526249977401879,0.7085110749814881,0.8908130841121495,0.723789891233325,0.6855311952402299,0.6556245928600433,0.7054727272727273,1,0.756128,0.8674698795180723,0.26847169811320754,0.7195260805733636,0.7087237410687547,0.40487010108175214,0.6285117200965186,0.8380487917358421,0.8839036885245902,0.8780266343825666,0.6055939393939394,0.8532641509433962,0.7891967213114754,0.8181413000904904,0.6427608178456176,0.7124890419357242,0.8452495767481717,0.8135687100170054,0.7893643002676953,0.591467724577971,0.7520477915645212,0.7247379806854786,0.8314136751370651,0.7399053919434021,0.691233749810309,0.7321256190058297,0.7966641194781261
Malta,Malta,MT,MLT,MLT,Face-to-Face,MISCO International,H,808,1/1/2020,1/1/2025,500,1,1,1,1,0.875,0.75,1,0.875,0.75,1,1,1,1,1,0.875,0.875,0.9,0.655736,0.5824759036144579,0.9162967660114142,0.5246584479614159,0.6852249600549504,0.2872306857580433,0.6379269428867755,0.7324146341463414,0.6287495421690349,0.5810681486944459,0.6857359768847803,0.5322953846153846,0.6991452991452991,0.5195749128919861,0.6411728395061729,0.07111382113821138,0.51546464942273,0.5628283833858747,0.8001773364071645,0.6432402619786282,0.7631802250507286,0.7345967213114755,0.549137642018998,0.4098830769230769,0.8354552845528456,0.839690036900369,0.9409448818897638,0.6789176131461689,0.5789553598542362,0.7846757166732926,0.6726152343068496,0.8947383849176512,0.5010248347505412,0.6761493353519032,0.5249805175573998,0.6667542114851077,0.639793445041627,0.656057524311662,0.8496866812521946,0.6915895543708267
Nederland,Netherlands,NL,NLD,NLD,Online,Bilendi&Respondi,H,828,10/1/2021,11/1/2023,3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9375,0.975,0.9666666666666667,0.7927191489361702,0.8339170403587444,0.795393233551265,0.6916941163669457,0.8395105364461658,0.7554925932344426,0.7649131003716418,0.7835260869565217,0.7097595196138523,0.6964248032571188,0.6684228285070994,0.4942834138486312,0.5135775862068965,0.6321491228070175,0.7419354838709677,0.027528455284552847,0.6085214838393994,0.7993183316019348,0.7728720255564243,0.6631491811954111,0.746006012091735,0.8038928653890557,0.7860540032896204,0.4726482982171799,0.7508494623655914,0.6942,0.7836982882037864,0.6168911974256317,0.668659748473774,0.6581070572279879,0.6132978909963542,0.7239024822364373,0.5987982531683871,0.7223899431666874,0.6605326680289199,0.8065865003958829,0.7208475024996851,0.6020445400271504,0.6313029843051896,0.641304347826087
Polska,Poland,PL,POL,POL,Face-to-Face,ACT,H,1565,11/1/2019,11/1/2023,5250,0.8333333333333334,0.75,1,0.75,1,1,1,0.8125,0.75,1,0.8333333333333334,0.75,0.75,1,0.625,0.85,0.7833333333333333,0.45496857142857144,0.4274724409448819,0.4272772875210839,0.4304249639507585,0.555146248516598,0.3983092619650585,0.388922471884662,0.5117800586510264,0.5356204810388078,0.5032268847063663,0.4397038619127556,0.3533041575492341,0.5973214285714286,0.3173210784313725,0.6040915178571429,0.05617,0.46664984689923494,0.7065148431340191,0.7557856002837383,0.658449672526715,0.6301282051282051,0.652233606557377,0.808265040044701,0.30694577006507595,0.3857294117647059,0.4057994722955145,0.3883097709377237,0.4072950107009096,0.34257272642895953,0.46806776991537236,0.40852646638054363,0.5334768280904755,0.3412705109043279,0.4280063464226112,0.4371467741032958,0.6316448198000059,0.5308204472421326,0.46400938673762154,0.46560571903179876,0.5209653918148558
Portugal,Portugal,PT,PRT,PRT,Face-to-Face,Intercampus,H,655,3/1/2022,3/1/2026,1500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,0.975,0.95,0.5175739348370927,0.4256649746192893,0.547036112471204,0.4650485607287499,0.532503237633825,0.37280218933961506,0.4120595298187271,0.5537408376963351,0.4483200800038712,0.3283348355753587,0.4367234795347145,0.2720281124497992,0.4186965811965812,0.2939267461669506,0.4315068493150685,0.03128455284552845,0.3999224437204034,0.4301377040324863,0.5135698915688423,0.4060757577372894,0.3937379834435386,0.5425350684468481,0.5604875641569683,0.27641961414790994,0.4431030927835051,0.4023878260869565,0.4573213364185713,0.4857937000193495,0.5343219695604955,0.4956080658998342,0.3362781996258391,0.5019662483614596,0.32377274424197083,0.60035460021072,0.5617501117640173,0.7030558828602482,0.47281186753331456,0.41864308831367025,0.4307252898215512,0.5346207055133783
România,Romania,RO,ROU,ROU,Face-to-Face,ACT,H,120,6/1/2023,6/1/2027,3000,1,1,1,1,0.875,1,1,0.8125,0.75,0.75,0.9166666666666666,1,1,0.75,0.75,0.875,0.8,0.28876321353065537,0.28028,0.5049033788197791,0.31461744413551646,0.5304682197312854,0.256167358671351,0.2612452629633053,0.2964059829059829,0.34335373823574866,0.2750818396066776,0.31166064855740183,0.26699657534246574,0.44961538461538464,0.27772076788830713,0.2939882697947214,0.08769918699186992,0.35330091220957427,0.6071535849961507,0.6520934437980963,0.3731374805191022,0.4221922570286133,0.47980604941122146,0.6253651917090174,0.17407068965517242,0.45602604166666666,0.4590022421524664,0.48804543963254593,0.4772712494798169,0.3894379808178965,0.487358028899412,0.4287458273724368,0.5806389430083775,0.2585903651814108,0.6389926074730756,0.39778168039037604,0.3210704400728154,0.3590228994291207,0.4070363576501576,0.35488475913621265,0.4738582923863411
Sverige,Sweden,SE,SWE,SWE,Online,Ipsos,H,690,10/1/2022,10/1/2026,1500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8953588110403397,0.8941239316239317,0.8492377065617397,0.6754876649454963,0.6150266988884964,0.7083568778714099,0.9493194842406878,0.9415223880597015,0.8205704466813876,0.8302120445748956,0.820893922612455,0.5320393162393162,0.5045299145299146,0.879248031496063,0.4162348877374784,0.07026016260162601,0.6952617612994971,0.8319669748241179,0.8072553069793117,0.729952274834807,0.7648217287491783,0.8330039251904872,0.7745875513839229,0.5221589743589744,0.822781779661017,0.7976568627450981,0.7843091884794077,0.643949336833232,0.7022513818477463,0.7935327319723584,0.7258237041928028,0.8025383397468349,0.48278194599490576,0.6954796296048852,0.8437929090103001,0.9054631828978623,0.8695639880837631,0.7279791215165846,0.6746700762915372,0.6867850979673493
Slovenija,Slovenia,SI,SVN,SVN,Online,Ipsos,H,6132,6/1/2022,6/1/2027,1000,1,1,1,1,1,1,1,0.875,0.5,1,1,1,1,1,0.9375,0.975,0.9333333333333333,0.9000289855072464,0.9023768115942029,0.8947181916520571,0.7104594849988188,0.8982261612276662,0.7606404399205698,0.7896247682454071,0.8632941176470589,0.7464125398857061,0.8104592809045864,0.7282815587916542,0.8231891891891892,1,0.9041648351648351,1,0.45926470588235296,0.6873379932519317,0.8101998563400516,0.8742443050831064,0.7556955281877723,0.8732370746759236,0.9085692995529061,0.8769535549196567,0.7395892857142857,0.8987352941176471,0.8782967032967033,0.777785380437071,0.8290418227215981,0.7440649506082421,0.8390288858065776,0.8226457965160313,0.931745322579381,0.651629906096762,0.6303517826109853,0.6719134187164877,0.6772716687625169,0.7282457086533632,0.6847541895268056,0.7903849912057846,0.8225484356935151
Slovensko,Slovakia,SK,SVK,SVK,Online,Talk Online,H,2897,5/1/2023,5/1/2024,2200,1,1,1,1,0.9375,1,1,0.9375,0.75,1,1,1,1,1,0.75,0.925,0.8833333333333333,0.7558148148148148,0.8220806451612903,0.8195149017121116,0.5927041499330656,0.9160288650776295,0.5301339236884359,0.6597156982479214,0.7491917808219178,0.6628060407940887,0.5325323974082073,0.7027378242076757,0.8243225806451613,1,0.7846063829787234,1,0.30436111111111114,0.6832781870729191,0.757950005398985,0.8580717621327659,0.6962445899881268,0.8348603168747053,0.8793806921675774,0.8451708366962604,0.7167448979591837,0.77125,0.7642333333333333,0.7131352899069434,0.6939372659176031,0.6990375206667341,0.7402806351215909,0.709103481163567,0.784112533301284,0.632448344395695,0.6535996206407411,0.6125333407942103,0.728213248878332,0.6844855446657533,0.553199912202311,0.6233065706902917,0.743001786777844
